,actual,sarimax_pred,stacked_pred
2024-01-01,127.0,91.56515106282497,91.56515106282497
2024-02-01,127.0,90.35739168077687,90.35739168077687
2024-03-01,128.0,72.11804668825734,72.11804668825734
2024-04-01,120.0,76.49497661386755,76.49497661386755
2024-05-01,146.0,82.21095025793896,106.87423533532065
2024-06-01,207.0,92.50454013426307,64.75317809398415
2024-07-01,195.0,322.78912882294594,225.95239017606218
2024-08-01,177.0,-0.9999999849349802,-1.2999999804154743
2024-09-01,147.0,8.851630698029772e+166,8.851630698029772e+166
2024-10-01,125.0,-1.0,-1.3
2024-12-01,133.0,-1.0,-1.0
