,actual,sarimax_pred,stacked_pred
2022-06-01,199.0,210.8525485221017,210.8525485221017
2022-07-01,199.0,157.32210749010414,157.32210749010414
2022-08-01,180.0,191.96669441449015,191.96669441449015
2022-09-01,161.0,273.84963573483725,273.84963573483725
2022-10-01,100.0,85.46182463614764,85.46182463614764
2022-11-01,54.0,106.46507776584825,106.46507776584825
2022-12-01,50.0,42.47666490940137,12.319854148903325
2023-01-01,50.0,27.217213726601788,-0.05401887837868102
2023-02-01,48.0,270.87192668167035,251.59463633743206
2023-03-01,41.0,16.80090004708642,-5.143744880892097
2023-04-01,40.0,20.5972284941889,-5.7910542816900055
2023-05-01,40.0,58.62067753410188,29.594760480879224
2023-06-01,39.0,10.955127062378898,16.695586027680413
2023-07-01,39.0,67.44706699946738,76.64112064936973
2023-08-01,43.0,76.27816927110838,89.16307222520994
2023-09-01,39.0,76.20396480369595,74.77095196056393
2023-10-01,36.0,27.537883771092044,8.67367745700513
2023-11-01,40.0,11.475811859173962,14.330232044263074
2023-12-01,43.0,39.70144972661249,57.47619948247186
2024-01-01,115.0,22.58253911552047,52.0777917247734
2024-02-01,105.0,61.734940722540195,83.29712410266714
2024-03-01,99.0,208.43637930483195,208.85108452171656
2024-04-01,83.0,59.90192688503646,72.80072582760238
2024-05-01,129.0,128.76944600694063,138.61037694566133
2024-06-01,169.0,146.93469163826742,133.96088621071615
2024-07-01,217.0,113.01658313521466,113.36989136585316
2024-08-01,215.0,149.8280765428339,139.3704463853632
2024-09-01,153.0,146.52198150716157,178.06900146565766
2024-10-01,98.0,139.6195399238061,173.69179029001702
2024-11-01,113.0,169.07775476790482,192.00392511702591
2024-12-01,132.0,146.91413703912073,129.3427297210055
2025-01-01,132.0,683.4134870587759,573.567700010436
2025-02-01,94.0,179.41527265926604,172.6904959144235
2025-03-01,93.0,62.473547129435104,72.82570949058012
2025-04-01,74.0,59.4294855702748,45.31483484395644
2025-05-01,71.0,101.06805257351648,99.32083467991602
2025-06-01,89.0,187.7236700764836,113.30960757648359
2025-07-01,96.0,139.9178744617127,121.54379761845098
2025-08-01,95.0,84.35785278102158,75.41273292323349
2025-09-01,85.0,75.58181215100021,63.849486597106164
2025-10-01,71.0,51.605405691019435,54.42701900278701
2025-11-01,81.0,66.54128765556094,59.590529675214256
2025-12-01,85.0,105.34360840912032,110.93907693023849
2026-01-01,92.0,97.6187238068036,109.0039834350995
2026-02-01,82.0,76.93652016222967,119.24927956164373
2026-03-01,82.0,212.0054547118916,135.43466918943065
