,actual,sarimax_pred,stacked_pred
2024-01-01,17.0,14.047608751056966,14.047608751056966
2024-02-01,17.0,32.30001912316157,32.30001912316157
2024-03-01,17.0,12.502756914280075,12.502756914280075
2024-04-01,17.0,13.672989791792157,13.672989791792157
2024-05-01,16.0,21.113191812264613,14.77923426858523
2024-06-01,15.0,14.251350829779366,9.975945580845556
2024-07-01,15.0,16.268416865957274,11.387891806170092
2024-08-01,15.0,15.807982533066028,20.550377292985836
2024-09-01,15.0,15.70471244241704,20.416126175142153
2024-10-01,15.0,12.90704436920152,9.034931058441064
2024-11-01,15.0,13.272875592756435,17.254738270583367
2024-12-01,15.0,11.300043258080624,7.9100302806564375
