,actual,sar_pred,stk_pred
2025-01-01,37.0,46.62803217905359,39.66076657312708
2025-02-01,39.0,30.671091804756024,34.115454206718304
2025-03-01,37.0,32.92616311102771,36.427733097371096
2025-04-01,30.0,38.742500608628944,34.23242313212748
2025-05-01,30.0,26.93383714454169,29.618233411478947
2025-06-01,31.0,34.90751463071631,30.71982771055029
2025-07-01,31.0,33.66022890125414,32.489558153497185
2025-08-01,41.0,32.27655624989853,35.549698349279026
2025-09-01,36.0,34.17195715907967,33.13438525203621
2025-10-01,36.0,32.96497830904259,35.315454812414785
2025-11-01,29.0,33.208372946668305,31.622937675405183
2025-12-01,31.0,39.03143284821984,35.71040580773828
2026-01-01,31.0,32.43627393908845,32.6492011017357
2026-02-01,31.0,31.552962165732563,32.48737142648238
2026-03-01,31.0,35.45605786176808,33.03014333578236
