date,actual,sar_pred,lstm_corr,xgb_corr,triple_stack
2023-01-01,20.0,17.96124644619953,-1.0687662849350383,1.9296189546585083,19.89086540085804
2023-02-01,20.0,24.816075428579154,-2.2750796903205943,-3.8819708824157715,20.934104546163383
2023-03-01,18.0,17.42373209391731,-3.3325577478059407,0.43620696663856506,17.859939060555874
2023-04-01,18.0,20.580839544859842,-4.375678229825937,-2.284700870513916,18.296138674345926
2023-05-01,18.0,11.951400328120513,-5.266965506621617,3.585420098436154,15.536820426556668
2023-06-01,18.0,16.453409270521632,-6.254011853387575,1.5197564363479614,17.973165706869594
2023-07-01,18.0,16.435839811918775,-6.435044054790249,1.5734961032867432,18.00933591520552
2023-08-01,18.0,17.111415644849785,-5.340696056157325,1.091178059577942,18.202593704427727
2023-09-01,18.0,17.705346753421097,-3.554557263402826,0.2062361091375351,17.91158286255863
2023-10-01,18.0,18.64118195131713,-1.1921249494331843,-0.5910890102386475,18.050092941078482
2023-11-01,18.0,15.387874646934712,1.0226391948647782,2.147169828414917,17.53504447534963
2023-12-01,17.0,16.43320656583434,2.254009892774681,0.6143724322319031,17.047578998066243
2024-01-01,17.0,17.127277393446803,2.10968693406783,-0.1803330034017563,16.946944390045047
2024-02-01,17.0,16.247415267563028,1.6142527323634004,0.645420253276825,16.892835520839853
2024-03-01,17.0,17.289788176520993,0.7284216200603104,-0.12329934537410736,17.166488831146886
2024-04-01,17.0,16.086413231577623,-0.2635317166344395,0.7508959174156189,16.837309148993242
2024-05-01,16.0,18.203563566960582,-0.4632726009466041,-2.0409789085388184,16.162584658421764
2024-06-01,15.0,17.072595578248794,-0.31957493712280444,-1.7367875576019287,15.335808020646866
2024-07-01,15.0,15.205846569610003,-0.29651777160776926,-0.33527055382728577,14.870576015782717
2024-08-01,15.0,16.195164885328595,-0.23836359759164205,-1.1743557453155518,15.020809140013043
2024-09-01,15.0,15.81516666273231,-0.21780119533668948,-0.6733209490776062,15.141845713654703
2024-10-01,15.0,14.536005624948423,-0.3639113774779317,0.4393141567707062,14.97531978171913
2024-11-01,15.0,14.62262501674136,-0.8068073931643813,0.24614255130290985,14.86876756804427
2024-12-01,15.0,13.585578737774014,-0.9341622285988906,1.3358701467514038,14.921448884525418
