,actual,sar_pred,stk_pred
2025-01-01,54.0,54.83731971833416,53.14714144322582
2025-02-01,46.0,54.0817989664216,46.54587071706246
2025-03-01,41.0,39.12811173284465,36.49994911039287
2025-04-01,32.0,41.185546670533526,38.01825145301949
2025-05-01,32.0,26.169172549095187,26.54891013487819
2025-06-01,35.0,38.33154525621279,37.3926875816141
2025-07-01,30.0,36.92178640301695,34.76993594105711
2025-08-01,32.0,33.24146859763001,34.3815175783429
2025-09-01,42.0,37.67120813466402,39.29578708745333
2025-10-01,43.0,38.51237459408499,39.87031216847159
2025-11-01,40.0,44.18953944900321,42.82838775375175
2025-12-01,40.0,36.37409930306673,35.95624231177568
2026-01-01,41.0,44.80214693468304,43.00282695215435
2026-02-01,41.0,41.4998107784647,41.80067565378132
2026-03-01,37.0,39.469306670722936,38.8794707289314
