,actual,sar_pred,stk_pred
2025-01-01,13.0,13.696203989874045,13.52115985561482
2025-02-01,13.0,12.630074779984266,12.753134201761991
2025-03-01,13.0,12.975189155530272,12.95725032743448
2025-04-01,12.0,11.914032926322744,12.047355135442542
2025-05-01,12.0,10.755036444935584,11.053175480637336
2025-06-01,14.0,13.853205799991477,14.0643041431254
2025-07-01,14.0,13.966467480430536,14.129735092887811
2025-08-01,14.0,13.968176711114378,14.073938783021898
2025-09-01,14.0,13.854398515686558,14.017666128143834
2025-10-01,14.0,13.99593747547343,13.875068837315585
2025-11-01,14.0,14.071233274528533,14.222534062454251
2025-12-01,14.0,14.028190258353826,14.102878186315175
2026-01-01,14.0,14.14369482956412,14.038450178127311
2026-02-01,14.0,14.06439076362293,14.02865037320297
2026-03-01,14.0,15.5141574484771,14.724778686231922
