,actual,sar_pred,stk_pred
2025-01-01,96.0,137.15884546693735,107.62016443666391
2025-02-01,114.0,93.67067050998112,88.7410116202106
2025-03-01,69.0,86.94671216748499,91.78830781720424
2025-04-01,71.0,73.16891392391923,71.2614276043773
2025-05-01,68.0,68.81566500420101,70.6951622938586
2025-06-01,129.0,87.55244637086163,96.58982658936748
2025-07-01,69.0,134.28660428687584,102.4774612204696
2025-08-01,61.0,98.89019888369276,78.37778204409315
2025-09-01,69.0,64.43941030395042,66.22480628383171
2025-10-01,51.0,50.63475326974827,39.98086742837864
2025-11-01,79.0,54.0487155104229,62.14836780076714
2025-12-01,60.0,66.1601502988279,60.28998113607766
2026-01-01,78.0,83.68532049434204,75.5305038668396
2026-02-01,61.0,88.06264712876198,73.22177436417458
2026-03-01,65.0,64.29480164234936,59.44483988468944
